ds,y
2012-12-28 00:00:00,59679
2012-12-28 01:00:00,55354
2012-12-28 02:00:00,54324
2012-12-28 03:00:00,52066
2012-12-28 04:00:00,49684
2012-12-28 05:00:00,49511
2012-12-28 06:00:00,51782
2012-12-28 07:00:00,55374
2012-12-28 08:00:00,59087
2012-12-28 09:00:00,60751
2012-12-28 10:00:00,62443
2012-12-28 11:00:00,63084
2012-12-28 12:00:00,64179
2012-12-28 13:00:00,64905
2012-12-28 14:00:00,62498
2012-12-28 15:00:00,60394
2012-12-28 16:00:00,58861
2012-12-28 17:00:00,59439
2012-12-28 18:00:00,64405
2012-12-28 19:00:00,66206
2012-12-28 20:00:00,63722
2012-12-28 21:00:00,60259
2012-12-28 22:00:00,57323
2012-12-28 23:00:00,60514
2012-12-29 00:00:00,59182
2012-12-29 01:00:00,54584
2012-12-29 02:00:00,53957
2012-12-29 03:00:00,51338
2012-12-29 04:00:00,48852
2012-12-29 05:00:00,48302
2012-12-29 06:00:00,49614
2012-12-29 07:00:00,51694
2012-12-29 08:00:00,54337
2012-12-29 09:00:00,55843
2012-12-29 10:00:00,57571
2012-12-29 11:00:00,57601
2012-12-29 12:00:00,57867
2012-12-29 13:00:00,59204
2012-12-29 14:00:00,56321
2012-12-29 15:00:00,54402
2012-12-29 16:00:00,53249
2012-12-29 17:00:00,54340
2012-12-29 18:00:00,59955
2012-12-29 19:00:00,62472
2012-12-29 20:00:00,61231
2012-12-29 21:00:00,58453
2012-12-29 22:00:00,56087
2012-12-29 23:00:00,59769
2012-12-30 00:00:00,59017
2012-12-30 01:00:00,54674
2012-12-30 02:00:00,54043
2012-12-30 03:00:00,51534
2012-12-30 04:00:00,48974
2012-12-30 05:00:00,48129
2012-12-30 06:00:00,48876
2012-12-30 07:00:00,50096
2012-12-30 08:00:00,51864
2012-12-30 09:00:00,53316
2012-12-30 10:00:00,55450
2012-12-30 11:00:00,56411
2012-12-30 12:00:00,57188
2012-12-30 13:00:00,58707
2012-12-30 14:00:00,55222
2012-12-30 15:00:00,52877
2012-12-30 16:00:00,52033
2012-12-30 17:00:00,52978
2012-12-30 18:00:00,59401
2012-12-30 19:00:00,62237
2012-12-30 20:00:00,62061
2012-12-30 21:00:00,59827
2012-12-30 22:00:00,57575
2012-12-30 23:00:00,61070
2012-12-31 00:00:00,60099
2012-12-31 01:00:00,55834
2012-12-31 02:00:00,55155
2012-12-31 03:00:00,52785
2012-12-31 04:00:00,50396
2012-12-31 05:00:00,50114
2012-12-31 06:00:00,51974
2012-12-31 07:00:00,54904
2012-12-31 08:00:00,57957
2012-12-31 09:00:00,59339
2012-12-31 10:00:00,60753
2012-12-31 11:00:00,61083
2012-12-31 12:00:00,61724
2012-12-31 13:00:00,63390
2012-12-31 14:00:00,60892
2012-12-31 15:00:00,58905
2012-12-31 16:00:00,57404
2012-12-31 17:00:00,58432
2012-12-31 18:00:00,64013
2012-12-31 19:00:00,64502
2012-12-31 20:00:00,61625
2012-12-31 21:00:00,58332
2012-12-31 22:00:00,56422
2012-12-31 23:00:00,60985
2013-01-01 00:00:00,61194
2013-01-01 01:00:00,57877
2013-01-01 02:00:00,57243
2013-01-01 03:00:00,54376
2013-01-01 04:00:00,50796
2013-01-01 05:00:00,49040
2013-01-01 06:00:00,48633
2013-01-01 07:00:00,48738
2013-01-01 08:00:00,48781
2013-01-01 09:00:00,48313
2013-01-01 10:00:00,50170
2013-01-01 11:00:00,52015
2013-01-01 12:00:00,54067
2013-01-01 13:00:00,56972
2013-01-01 14:00:00,54210
2013-01-01 15:00:00,52313
2013-01-01 16:00:00,51555
2013-01-01 17:00:00,52700
2013-01-01 18:00:00,58621
2013-01-01 19:00:00,61058
2013-01-01 20:00:00,61610
2013-01-01 21:00:00,59977
2013-01-01 22:00:00,57722
2013-01-01 23:00:00,61449
2013-01-02 00:00:00,60074
2013-01-02 01:00:00,55985
2013-01-02 02:00:00,55736
2013-01-02 03:00:00,53626
2013-01-02 04:00:00,51940
